global_step,episode,step_in_ep,avg_r_speed,avg_r_orientation,avg_r_lane,avg_r_collision,avg_r_offroad,avg_r_total,speed_kmh
55,2,50,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
105,2,100,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
155,2,150,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
205,2,200,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
255,2,250,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
305,2,300,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
355,2,350,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
405,2,400,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
455,2,450,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
505,2,500,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
555,2,550,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
605,2,600,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
655,2,650,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
705,2,700,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
755,2,750,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
805,2,800,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
855,2,850,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
905,2,900,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
955,2,950,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
1005,2,1000,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
1055,2,1050,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
1105,2,1100,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
1155,2,1150,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
1205,2,1200,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
1255,2,1250,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
1305,2,1300,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
1355,2,1350,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
1405,2,1400,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
1455,2,1450,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
1505,2,1500,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
1555,2,1550,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
1605,2,1600,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
1655,2,1650,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
